modulation_type,symbol,magnitude,phase,real,imag,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean,scd_max
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,-1.0,1.0,0.6229948116273603,0.010157523120623029,0.42905322979329125,0.48549294653303643,0.2558997913159755,0.6229948116273603,0.6229948116273605
256apsk,(-1.1353254099456007-0.275426964269751j),1.1682567351036317,-2.9035932101360213,-1.1353254099456007,-0.275426964269751,0.3094478409010683,7.369154991624502e-05,0.2301853511588072,0.2785013505090073,0.13019884823037184,0.30944784090106836,0.3094478409010684
128apsk,(-0.24109415714921373-0.41758732959043293j),0.482188314298427,-2.094395102393196,-0.24109415714921373,-0.41758732959043293,0.30300910738852754,0.01674199625344783,0.23081805807697098,0.2371146493942177,0.09484427926785813,0.30300910738852765,0.30300910738852765
32apsk,(0.4730441934550127-1.142029707440933j),1.2361240478362705,-1.1780972450961722,0.4730441934550127,-1.142029707440933,0.3673460620191119,0.011829494673036593,0.23967000011622716,0.2638152168488003,0.1259514418636772,0.3673460620191119,0.367346062019112
bpsk,(-1+0j),1.0,3.141592653589793,-1.0,0.0,0.2689962188270193,0.05998290756374857,0.26831417569605603,0.25903113428796004,0.09824975092738909,0.26899621882701924,0.2689962188270194
64apsk,(-0.26723625246740035-0.8224686147553274j),0.8647946790368031,-1.884955592153876,-0.26723625246740035,-0.8224686147553274,0.3166494974991135,0.0061599503209045095,0.25314538596378533,0.29230997272855663,0.157208188865006,0.3166494974991134,0.3166494974991136
256apsk,(0.3261749378980028+0.4489412874336189j),0.554921949174225,0.942477796076938,0.3261749378980028,0.4489412874336189,0.3094478409010683,7.369154991624502e-05,0.2301853511588072,0.2785013505090073,0.13019884823037184,0.30944784090106836,0.3094478409010684
bpsk,(-1+0j),1.0,3.141592653589793,-1.0,0.0,0.2689962188270193,0.05998290756374857,0.26831417569605603,0.25903113428796004,0.09824975092738909,0.26899621882701924,0.2689962188270194
256apsk,(-1.1471448139686922-0.22109404085079198j),1.168256735103632,-2.951193098826776,-1.1471448139686922,-0.22109404085079198,0.336950702125009,0.013041676541566169,0.2502350618793492,0.29343012826139614,0.16433966294277813,0.33695070212500894,0.33695070212500905
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,1.0,-1.0,0.6336903998928795,0.013754137227005385,0.42970377772253127,0.4843757044933564,0.25419737185970753,0.6336903998928796,0.6336903998928797
8apsk,(-0.23541045825521667-1.0314006079876599j),1.0579249964025075,-1.7951958020513106,-0.23541045825521667,-1.0314006079876599,0.3198471677604453,0.002853888294256791,0.22648042418005912,0.2717553795509121,0.15710454933756635,0.3198471677604453,0.31984716776044536
64apsk,(0.7863197169933344+0.9860137378318031j),1.2611589069286713,0.8975979010256552,0.7863197169933344,0.9860137378318031,0.3266273870959923,0.03352407070462116,0.17400617203643182,0.20819971258630987,0.12449020481887019,0.32662738709599237,0.3266273870959925
32apsk,(-0.38721958124991585+0.6706839884103996j),0.774439162499832,2.0943951023931953,-0.38721958124991585,0.6706839884103996,0.346004570208564,0.016470024115385118,0.2674996512802489,0.2943844949898943,0.14876049807723052,0.346004570208564,0.3460045702085641
64apsk,(1.2611589069286713+0j),1.2611589069286713,0.0,1.2611589069286713,0.0,0.3266273870959923,0.03352407070462116,0.17400617203643182,0.20819971258630987,0.12449020481887019,0.32662738709599237,0.3266273870959925
8apsk,(-0.23541045825521667-1.0314006079876599j),1.0579249964025075,-1.7951958020513106,-0.23541045825521667,-1.0314006079876599,0.32773489697688823,0.013884993555191212,0.2142160176079407,0.25237926796108706,0.14222945811144788,0.3277348969768883,0.3277348969768884
8apsk,(-0.9531574863344378+0.4590164531450492j),1.0579249964025073,2.6927937030769655,-0.9531574863344378,0.4590164531450492,0.30017047823310194,0.003398910229811542,0.20608230053482,0.21559433560569227,0.09814413367504803,0.300170478233102,0.30017047823310206
32apsk,(0.8740716966127909-0.8740716966127913j),1.2361240478362705,-0.7853981633974485,0.8740716966127909,-0.8740716966127913,0.327804425848151,0.004678389661549872,0.2489169859393382,0.2830212683892457,0.1455050433494298,0.32780442584815106,0.32780442584815117
256apsk,(-0.6776553913499507-0.9516338422362576j),1.1682567351036317,-2.1895948797747047,-0.6776553913499507,-0.9516338422362576,0.3193366890741914,0.01604905912561901,0.24139321305432268,0.2495211387988699,0.10624096052515614,0.3193366890741913,0.3193366890741915
64apsk,(-1.1362649126205773+0.5471963421596245j),1.2611589069286713,2.6927937030769655,-1.1362649126205773,0.5471963421596245,0.3266273870959923,0.03352407070462116,0.17400617203643182,0.20819971258630987,0.12449020481887019,0.32662738709599237,0.3266273870959925
64apsk,(0.2672362524674003+0.8224686147553274j),0.8647946790368031,1.2566370614359172,0.2672362524674003,0.8224686147553274,0.29918774747830995,0.0422756343772854,0.1610698737377977,0.22373452586215956,0.1684837187306189,0.2991877474783099,0.29918774747831
8apsk,(1.0579249964025073+0j),1.0579249964025073,0.0,1.0579249964025073,0.0,0.28538588324051284,0.02772638478663923,0.22380142526991398,0.2315519843124165,0.0881385164737979,0.2853858832405129,0.28538588324051295
8apsk,(1.0579249964025073+0j),1.0579249964025073,0.0,1.0579249964025073,0.0,0.28538588324051284,0.02772638478663923,0.22380142526991398,0.2315519843124165,0.0881385164737979,0.2853858832405129,0.28538588324051295
128apsk,(-0.21853976262392616+0.6725962296458455j),0.7072095276376931,1.8849555921538759,-0.21853976262392616,0.6725962296458455,0.3074305129321962,0.014904616426979338,0.2157027397953655,0.27461454096641247,0.1800794969838115,0.3074305129321963,0.3074305129321963
32apsk,(-0.29786121634608925+3.647747851883755e-17j),0.29786121634608925,3.141592653589793,-0.29786121634608925,3.647747851883755e-17,0.2937422947397873,0.007769782043997515,0.22039421633862336,0.24609030945392987,0.1219916392552499,0.29374229473978725,0.2937422947397874
8apsk,(-0.23541045825521667-1.0314006079876599j),1.0579249964025075,-1.7951958020513106,-0.23541045825521667,-1.0314006079876599,0.32773489697688823,0.013884993555191212,0.2142160176079407,0.25237926796108706,0.14222945811144788,0.3277348969768883,0.3277348969768884
128apsk,(0.43316537623672835-1.1421632282853937j),1.2215437295560152,-1.2083048667653051,0.43316537623672835,-1.1421632282853937,0.2947024399809996,0.00610615682739531,0.21099864425220557,0.22082317566163853,0.10279588926479566,0.29470243998099965,0.29470243998099976
256apsk,(-1.1669334964755929-0.05558789363022066j),1.168256735103632,-3.0939927648990393,-1.1669334964755929,-0.05558789363022066,0.336950702125009,0.013041676541566169,0.2502350618793492,0.29343012826139614,0.16433966294277813,0.33695070212500894,0.33695070212500905
64apsk,(-1.2295390200614804+0.2806342578370921j),1.2611589069286713,2.9171931783333798,-1.2295390200614804,0.2806342578370921,0.29918774747830995,0.0422756343772854,0.1610698737377977,0.22373452586215956,0.1684837187306189,0.2991877474783099,0.29918774747831
256apsk,(-0.9346053880829054+5.2950431801350855e-16j),0.9346053880829054,3.1415926535897927,-0.9346053880829054,5.2950431801350855e-16,0.3094478409010683,7.369154991624502e-05,0.2301853511588072,0.2785013505090073,0.13019884823037184,0.30944784090106836,0.3094478409010684
256apsk,(0.5277621357973548+0.17148031284650633j),0.554921949174225,0.31415926535897926,0.5277621357973548,0.17148031284650633,0.3193366890741914,0.01604905912561901,0.24139321305432268,0.2495211387988699,0.10624096052515614,0.3193366890741913,0.3193366890741915
64apsk,(-0.2882648930122676+0.4992894407356544j),0.5765297860245354,2.0943951023931953,-0.2882648930122676,0.4992894407356544,0.31330460008509947,0.007743450454671292,0.20120603922174624,0.2263262254901797,0.12377136902445711,0.31330460008509947,0.3133046000850996
64apsk,(0.5471963421596241-1.1362649126205775j),1.2611589069286713,-1.1219973762820692,0.5471963421596241,-1.1362649126205775,0.3266273870959923,0.03352407070462116,0.17400617203643182,0.20819971258630987,0.12449020481887019,0.32662738709599237,0.3266273870959925
128apsk,(1.9683679189727555e-17+0.32145887619895136j),0.32145887619895136,1.5707963267948966,1.9683679189727555e-17,0.32145887619895136,0.2947024399809996,0.00610615682739531,0.21099864425220557,0.22082317566163853,0.10279588926479566,0.29470243998099965,0.29470243998099976
8apsk,(0.6596054463884007+0.8271190682773574j),1.0579249964025073,0.8975979010256552,0.6596054463884007,0.8271190682773574,0.32773489697688823,0.013884993555191212,0.2142160176079407,0.25237926796108706,0.14222945811144788,0.3277348969768883,0.3277348969768884
bpsk,(1+0j),1.0,0.0,1.0,0.0,0.2689962188270193,0.05998290756374857,0.26831417569605603,0.25903113428796004,0.09824975092738909,0.26899621882701924,0.2689962188270194
128apsk,(-0.9171766767897894-0.2980087672144443j),0.964376628596854,-2.8274333882308147,-0.9171766767897894,-0.2980087672144443,0.2947024399809996,0.00610615682739531,0.21099864425220557,0.22082317566163853,0.10279588926479566,0.29470243998099965,0.29470243998099976
qpsk,(1+1j),1.4142135623730951,0.7853981633974483,1.0,1.0,0.5861896263785262,0.02737561268991273,0.46458241706009507,0.5160885651734289,0.2698200995846527,0.5861896263785263,0.5861896263785266
bpsk,(1+0j),1.0,0.0,1.0,0.0,0.2627052700869422,0.06399100478208083,0.2606311500024113,0.24513842347202136,0.08443065242479172,0.2627052700869421,0.2627052700869423
